CDG,4200,Asphalt,09R/27L
CDG,4215,Asphalt,08L/26R
CDP,2000,Asphalt,11/29
CDT,2700,Asphalt,06/24
CDV,2286,Asphalt,09/27
CDV,579,Gravel,16/34
CEB,2560,Asphalt,04L/22R
CEB,3300,Asphalt,04R/22L
CEC,1523,Asphalt,18/36
CEC,1524,Asphalt,12/30
CED,1014,Gravel,17/35
CED,1740,Asphalt,11/29
CEE,2523,Asphalt,03/21
CEG,2042,Asphalt,04/22
CEI,3000,Asphalt,03/21
CEK,3200,Concrete,09/27
CEN,2300,Asphalt,13/31
CEQ,1610,Asphalt,17/35
CEQ,550,Unknown,17L/35R
CEQ,760,Asphalt,04/22
CER,2440,Asphalt,10/28
CFC,1625,Asphalt,ß02/20
CFE,3012,Asphalt,08/26
CFE,705,Unknown,01/19
CFE,900,Unknown,08L/26R
CFG,2400,Asphalt,02/20
CFN,1496,Bitumen,03/21
CFR,1180,Asphalt,06/24
CFR,1900,Asphalt,13/31
CFS,2080,Asphalt,03/21
CFS,848,Asphalt,10/28
CFU,2375,Asphalt,16/34
CGB,2300,Asphalt,17/35
CGD,2550,Unknown,02/20
CGH,1434,Asphalt,17L/35R
CGH,1940,Asphalt,17R/35L
CGI,1218,Asphalt,02/20
CGI,1981,Concrete,10/28
CGK,3600,Concrete,07L/25R
CGK,3660,Concrete,07R/25L
CGM,1177,Asphalt,07/25
CGN,1863,Asphalt,14R/32L
CGN,2459,Concrete,06/24
CGN,3815,Asphalt,14L/32R
CGO,3400,Concrete,12R/30L
CGP,2940,Concrete,05/23
CGQ,3200,Concrete,06/24
CGR,2600,Concrete,6/24
CGY,2100,Concrete,09/27
CHA,1524,Asphalt,15/33
CHA,2255,Asphalt,02/20
CHC,1702,Unknown,11/29
CHC,3287,Asphalt,02/20
CHC,515,Unknown,01/19
CHM,1800,Asphalt,01/19
CHO,2073,Asphalt,03/21
CHQ,3347,Asphalt,11/29
CHS,2134,Asphalt,03/21
CHS,2743,Concrete,15/33
CHT,1360,Bitumen,05/23
CHU,1037,Gravel,09/27
CHX,1100,Asphalt,03/21
CHY,660,Sand,13/31
CIA,2208,Asphalt,15/33
CID,1890,Concrete,13/31
CID,2621,Concrete,09/27
CIF,2800,Concrete,03/21
